innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Rohit Sharma (c),c Shakib Al Hasan b Stanlake,11,10,-,1,1,110.00,Mumbai Indians
1,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Evin Lewis, b Kaul,29,17,-,3,2,170.58,Mumbai Indians
1,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Ishan Kishan,c Pathan b Kaul,9,9,-,2,0,100.00,Mumbai Indians
1,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Suryakumar Yadav,c Hooda b Sandeep Sharma,28,31,-,2,1,90.32,Mumbai Indians
1,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Krunal Pandya,c Williamson b Shakib Al Hasan,15,10,-,2,0,150.00,Mumbai Indians
1,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Kieron Pollard,c Dhawan b Stanlake,28,23,-,3,2,121.73,Mumbai Indians
1,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Ben Cutting, b Rashid Khan,9,9,-,1,0,100.00,Mumbai Indians
1,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Pradeep Sangwan,lbw b Sandeep Sharma,0,4,-,0,0,0.00,Mumbai Indians
1,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Mayank Markande,not out ,6,3,-,1,0,200.00,Mumbai Indians
1,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Jasprit Bumrah,not out ,4,5,-,0,0,80.00,Mumbai Indians
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Wriddhiman Saha,lbw b Markande,22,20,-,3,0,110.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Shikhar Dhawan,c Bumrah b Markande,45,28,-,8,0,160.71,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Kane Williamson (c),c Ishan Kishan b Mustafizur Rahman,6,4,-,1,0,150.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Manish Pandey,c Sharma b Markande,11,8,-,1,0,137.50,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Shakib Al Hasan, b Markande,12,12,-,1,0,100.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Deepak Hooda,not out ,32,25,-,1,1,128.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Yusuf Pathan,c Pollard b Bumrah,14,14,-,2,0,100.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Rashid Khan,c Ishan Kishan b Bumrah,0,1,-,0,0,0.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Siddarth Kaul,c & b Mustafizur Rahman,0,4,-,0,0,0.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Sandeep Sharma,c Pandya b Mustafizur Rahman,0,2,-,0,0,0.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-mumbai-indians-7th-match-1136567,Billy Stanlake,not out ,5,2,-,1,0,250.00,Sunrisers Hyderabad
