innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Ajinkya Rahane (c),c Rashid Khan b Kaul,13,13,-,2,0,100.00,Rajasthan Royals
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,D'Arcy Short,run out (Williamson),4,4,-,1,0,100.00,Rajasthan Royals
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Sanju Samson,c Rashid Khan b Shakib Al Hasan,49,42,-,5,0,116.66,Rajasthan Royals
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Ben Stokes,c Williamson b Stanlake,5,8,-,0,0,62.50,Rajasthan Royals
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Rahul Tripathi,c Pandey b Shakib Al Hasan,17,15,-,2,0,113.33,Rajasthan Royals
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Jos Buttler, b Rashid Khan,6,9,-,0,0,66.66,Rajasthan Royals
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Krishnappa Gowtham,c Saha b Kaul,0,2,-,0,0,0.00,Rajasthan Royals
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Shreyas Gopal,c Pathan b Kumar,18,18,-,2,0,100.00,Rajasthan Royals
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Dhawal Kulkarni,not out ,3,4,-,0,0,75.00,Rajasthan Royals
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Jaydev Unadkat,run out (Pathan/Saha),1,2,-,0,0,50.00,Rajasthan Royals
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Ben Laughlin,not out ,1,3,-,0,0,33.33,Rajasthan Royals
2,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Wriddhiman Saha,c Laughlin b Unadkat,5,5,-,1,0,100.00,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Shikhar Dhawan,not out ,78,57,-,13,1,136.84,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Kane Williamson (c),not out ,36,35,-,3,1,102.85,Sunrisers Hyderabad
