innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Bhuvneshwar Kumar,4,0,30,1,7.50,10,4,0,3,0,Sunrisers Hyderabad
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Billy Stanlake,4,0,29,1,7.25,7,2,0,1,0,Sunrisers Hyderabad
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Shakib Al Hasan,4,0,23,2,5.75,9,2,0,0,0,Sunrisers Hyderabad
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Siddarth Kaul,4,0,17,2,4.25,11,1,0,1,0,Sunrisers Hyderabad
1,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Rashid Khan,4,0,23,1,5.75,11,3,0,0,0,Sunrisers Hyderabad
2,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Dhawal Kulkarni,2.5,0,18,0,6.35,12,2,1,1,0,Rajasthan Royals
2,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Jaydev Unadkat,3,0,28,1,9.33,8,3,1,1,0,Rajasthan Royals
2,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Krishnappa Gowtham,1,0,9,0,9.00,3,2,0,0,0,Rajasthan Royals
2,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Ben Laughlin,2,0,20,0,10.00,4,3,0,0,1,Rajasthan Royals
2,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Shreyas Gopal,3,0,18,0,6.00,6,2,0,0,0,Rajasthan Royals
2,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,Ben Stokes,2,0,21,0,10.50,4,4,0,1,0,Rajasthan Royals
2,ipl-2018-1131611,sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1136564,D'Arcy Short,2,0,9,0,4.50,7,1,0,0,0,Rajasthan Royals
