innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Prithvi Shaw,lbw b Chahar,5,6,16,1,0,83.33,Delhi Capitals
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Shikhar Dhawan,c Dhoni b Harbhajan Singh,18,14,29,3,0,128.57,Delhi Capitals
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Colin Munro,c Bravo b Jadeja,27,24,26,4,0,112.50,Delhi Capitals
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Shreyas Iyer (c),c Raina b Imran Tahir,13,18,26,1,0,72.22,Delhi Capitals
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Rishabh Pant,c Bravo b Chahar,38,25,57,2,1,152.00,Delhi Capitals
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Axar Patel,c Imran Tahir b Bravo,3,6,7,0,0,50.00,Delhi Capitals
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Sherfane Rutherford,c Watson b Harbhajan Singh,10,12,19,0,1,83.33,Delhi Capitals
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Keemo Paul, b Bravo,3,7,14,0,0,42.85,Delhi Capitals
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Amit Mishra,not out ,6,3,13,1,0,200.00,Delhi Capitals
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Trent Boult, b Jadeja,6,3,6,0,1,200.00,Delhi Capitals
1,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Ishant Sharma,not out ,10,3,2,1,1,333.33,Delhi Capitals
2,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Faf du Plessis,c Paul b Boult,50,39,52,7,1,128.20,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Shane Watson,c Boult b Mishra,50,32,63,3,4,156.25,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Suresh Raina, b Patel,11,13,22,0,0,84.61,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Ambati Rayudu,not out ,20,20,28,3,0,100.00,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,MS Dhoni (c)†,c Paul b Sharma,9,9,14,1,0,100.00,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-delhi-capitals-qualifier-2-1181767,Dwayne Bravo,not out ,0,1,2,0,0,0.00,Chennai Super Kings
