innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,Shane Watson,c Curran b R Ashwin,26,24,39,3,1,108.33,Chennai Super Kings
1,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,Faf du Plessis,c Miller b R Ashwin,54,38,65,2,4,142.10,Chennai Super Kings
1,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,Suresh Raina, b R Ashwin,17,20,28,1,0,85.00,Chennai Super Kings
1,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,MS Dhoni (c)†,not out ,37,23,39,4,1,160.86,Chennai Super Kings
1,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,Ambati Rayudu,not out ,21,15,37,1,1,140.00,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,KL Rahul,c Jadeja b Kuggeleijn,55,47,80,3,1,117.02,Kings XI Punjab
2,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,Chris Gayle,c Dhoni b Harbhajan Singh,5,7,10,1,0,71.42,Kings XI Punjab
2,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,Mayank Agarwal,c du Plessis b Harbhajan Singh,0,2,2,0,0,0.00,Kings XI Punjab
2,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,Sarfaraz Khan,c du Plessis b Kuggeleijn,67,59,84,4,2,113.55,Kings XI Punjab
2,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,David Miller, b Chahar,6,5,13,1,0,120.00,Kings XI Punjab
2,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,Mandeep Singh,not out ,1,1,7,0,0,100.00,Kings XI Punjab
2,ipl-2019-1165643,chennai-super-kings-vs-kings-xi-punjab-18th-match-1178393,Sam Curran,not out ,0,1,2,0,0,0.00,Kings XI Punjab
