innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Virat Kohli (c),c Jadeja b Harbhajan Singh,6,12,-,0,0,50.00,Royal Challengers Bangalore
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Parthiv Patel,c Jadhav b Bravo,29,35,-,2,0,82.85,Royal Challengers Bangalore
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Moeen Ali,c & b Harbhajan Singh,9,8,-,0,1,112.50,Royal Challengers Bangalore
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,AB de Villiers,c Jadeja b Harbhajan Singh,9,10,-,0,0,90.00,Royal Challengers Bangalore
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Shimron Hetmyer,run out (Raina/Dhoni),0,2,-,0,0,0.00,Royal Challengers Bangalore
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Shivam Dube,c Watson b Imran Tahir,2,5,-,0,0,40.00,Royal Challengers Bangalore
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Colin de Grandhomme,c Dhoni b Jadeja,4,6,-,1,0,66.66,Royal Challengers Bangalore
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Navdeep Saini,c Watson b Imran Tahir,2,3,-,0,0,66.66,Royal Challengers Bangalore
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Yuzvendra Chahal,c Harbhajan Singh b Imran Tahir,4,12,-,0,0,33.33,Royal Challengers Bangalore
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Umesh Yadav, b Jadeja,1,10,-,0,0,10.00,Royal Challengers Bangalore
1,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Mohammed Siraj,not out ,0,1,-,0,0,0.00,Royal Challengers Bangalore
2,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Shane Watson, b Chahal,0,10,-,0,0,0.00,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Ambati Rayudu, b Mohammed Siraj,28,42,-,2,1,66.66,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Suresh Raina,c Dube b Ali,19,21,-,3,0,90.47,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Kedar Jadhav,not out ,13,19,-,1,0,68.42,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-royal-challengers-bangalore-1st-match-1175356,Ravindra Jadeja,not out ,6,15,-,0,0,40.00,Chennai Super Kings
