innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2019-1165643,chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416,Deepak Chahar,4,0,30,1,7.50,11,4,0,2,0,Chennai Super Kings
1,ipl-2019-1165643,chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416,Harbhajan Singh,4,0,39,2,9.75,9,3,2,0,0,Chennai Super Kings
1,ipl-2019-1165643,chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416,Ravindra Jadeja,4,0,33,0,8.25,5,2,1,0,0,Chennai Super Kings
1,ipl-2019-1165643,chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416,Dwayne Bravo,4,0,34,0,8.50,4,3,0,1,0,Chennai Super Kings
1,ipl-2019-1165643,chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416,Imran Tahir,4,0,38,0,9.50,5,0,3,0,0,Chennai Super Kings
2,ipl-2019-1165643,chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416,Bhuvneshwar Kumar,4,1,18,1,4.50,15,3,0,0,0,Sunrisers Hyderabad
2,ipl-2019-1165643,chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416,Khaleel Ahmed,4,0,26,0,6.50,12,1,2,0,0,Sunrisers Hyderabad
2,ipl-2019-1165643,chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416,Shakib Al Hasan,4,0,27,0,6.75,7,1,1,0,0,Sunrisers Hyderabad
2,ipl-2019-1165643,chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416,Sandeep Sharma,3.5,0,54,1,14.08,4,6,3,1,0,Sunrisers Hyderabad
2,ipl-2019-1165643,chennai-super-kings-vs-sunrisers-hyderabad-41st-match-1178416,Rashid Khan,4,0,44,1,11.00,7,5,2,1,0,Sunrisers Hyderabad
