innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Kagiso Rabada,4,0,41,1,10.25,6,6,0,1,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Sandeep Lamichhane,4,0,29,1,7.25,12,2,2,0,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Chris Morris,4,0,35,1,8.75,10,5,1,0,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Harshal Patel,4,0,40,2,10.00,7,2,3,1,1,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Amit Mishra,4,0,36,1,9.00,10,2,3,1,0,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Prasidh Krishna,4,0,33,0,8.25,8,5,0,1,0,Kolkata Knight Riders
2,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Lockie Ferguson,4,0,38,1,9.50,7,6,0,2,0,Kolkata Knight Riders
2,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Piyush Chawla,4,0,36,1,9.00,5,2,2,0,0,Kolkata Knight Riders
2,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Andre Russell,3,0,28,1,9.33,7,4,1,0,0,Kolkata Knight Riders
2,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Kuldeep Yadav,4,0,41,2,10.25,6,2,3,0,0,Kolkata Knight Riders
2,ipl-2019-1165643,delhi-capitals-vs-kolkata-knight-riders-10th-match-1175365,Nitish Rana,1,0,8,0,8.00,2,1,0,0,0,Kolkata Knight Riders
