innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Rohit Sharma (c), b Mishra,30,22,33,3,1,136.36,Mumbai Indians
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Quinton de Kock,run out (Rabada/Pant/Patel),35,27,51,2,2,129.62,Mumbai Indians
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Ben Cutting,lbw b Patel,2,4,8,0,0,50.00,Mumbai Indians
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Suryakumar Yadav,c Pant b Rabada,26,27,34,2,0,96.29,Mumbai Indians
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Krunal Pandya,not out ,37,26,48,5,0,142.30,Mumbai Indians
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Hardik Pandya,c Pant b Rabada,32,15,22,2,3,213.33,Mumbai Indians
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Kieron Pollard,not out ,0,0,3,0,0,-,Mumbai Indians
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Prithvi Shaw,c HH Pandya b Chahar,20,24,37,2,0,83.33,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Shikhar Dhawan, b Chahar,35,22,29,5,1,159.09,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Colin Munro, b KH Pandya,3,9,13,0,0,33.33,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Shreyas Iyer (c), b Chahar,3,6,8,0,0,50.00,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Rishabh Pant, b Bumrah,7,11,16,0,0,63.63,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Axar Patel, b Bumrah,26,23,35,1,1,113.04,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Chris Morris,c HH Pandya b Malinga,11,9,18,0,1,122.22,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Keemo Paul,run out (Bumrah),0,0,2,0,0,-,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Kagiso Rabada,c Pollard b HH Pandya,9,8,12,0,1,112.50,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Amit Mishra,not out ,6,8,11,0,0,75.00,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Ishant Sharma,not out ,0,0,1,0,0,-,Delhi Capitals
