innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Ishant Sharma,3,0,17,0,5.66,5,1,0,0,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Kagiso Rabada,4,0,38,2,9.50,8,5,1,2,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Chris Morris,3,0,39,0,13.00,3,4,2,1,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Keemo Paul,3,0,37,0,12.33,4,2,3,0,1,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Amit Mishra,3,0,18,1,6.00,7,2,0,0,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Axar Patel,4,0,17,1,4.25,7,0,0,0,0,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Hardik Pandya,2,0,17,1,8.50,7,2,1,0,0,Mumbai Indians
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Rahul Chahar,4,0,19,3,4.75,15,2,0,2,0,Mumbai Indians
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Lasith Malinga,4,0,37,1,9.25,5,3,1,1,0,Mumbai Indians
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Jayant Yadav,4,0,25,0,6.25,9,1,1,0,0,Mumbai Indians
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Jasprit Bumrah,4,0,18,2,4.50,13,0,1,0,0,Mumbai Indians
2,ipl-2019-1165643,delhi-capitals-vs-mumbai-indians-34th-match-1178409,Krunal Pandya,2,0,7,1,3.50,6,0,0,0,0,Mumbai Indians
