innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Trent Boult,4,0,27,2,6.75,10,0,2,3,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Ishant Sharma,4,0,38,3,9.50,12,5,1,2,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Axar Patel,4,0,16,0,4.00,12,1,0,0,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Amit Mishra,4,0,17,3,4.25,11,1,0,0,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Keemo Paul,3.1,0,15,0,4.73,8,1,0,1,0,Delhi Capitals
1,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Sherfane Rutherford,0.5,0,2,0,2.40,3,0,0,0,0,Delhi Capitals
2,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Krishnappa Gowtham,4,0,16,0,4.00,9,0,0,0,0,Rajasthan Royals
2,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Varun Aaron,2,0,21,0,10.50,2,1,1,1,0,Rajasthan Royals
2,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Oshane Thomas,1,0,13,0,13.00,2,3,0,0,0,Rajasthan Royals
2,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Ish Sodhi,3.1,1,26,3,8.21,11,1,3,0,0,Rajasthan Royals
2,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Shreyas Gopal,4,0,21,2,5.25,13,0,2,0,0,Rajasthan Royals
2,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Riyan Parag,1,0,14,0,14.00,2,0,2,0,0,Rajasthan Royals
2,ipl-2019-1165643,delhi-capitals-vs-rajasthan-royals-53rd-match-1178428,Stuart Binny,1,0,6,0,6.00,0,0,0,0,0,Rajasthan Royals
