innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Sandeep Warrier,4,0,31,2,7.75,9,5,0,0,0,Kolkata Knight Riders
1,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Harry Gurney,4,0,41,1,10.25,8,3,2,0,0,Kolkata Knight Riders
1,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Sunil Narine,4,0,29,0,7.25,6,1,1,0,0,Kolkata Knight Riders
1,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Andre Russell,3,0,29,1,9.66,8,4,1,1,0,Kolkata Knight Riders
1,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Piyush Chawla,4,0,43,0,10.75,4,2,3,0,0,Kolkata Knight Riders
1,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Nitish Rana,1,0,8,1,8.00,3,0,1,0,0,Kolkata Knight Riders
2,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Mohammed Shami,3,0,15,1,5.00,9,2,0,0,0,Kings XI Punjab
2,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Arshdeep Singh,2,0,24,0,12.00,4,3,1,0,0,Kings XI Punjab
2,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Ravichandran Ashwin,4,0,38,1,9.50,9,2,3,1,0,Kings XI Punjab
2,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Andrew Tye,3,0,41,1,13.66,4,3,3,2,0,Kings XI Punjab
2,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Murugan Ashwin,2,0,24,0,12.00,0,2,1,0,0,Kings XI Punjab
2,ipl-2019-1165643,kings-xi-punjab-vs-kolkata-knight-riders-52nd-match-1178427,Sam Curran,4,0,41,0,10.25,6,4,1,2,0,Kings XI Punjab
