innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,KL Rahul,c Archer b Unadkat,52,47,86,3,2,110.63,Kings XI Punjab
1,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Chris Gayle,c Samson b Archer,30,22,24,2,3,136.36,Kings XI Punjab
1,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Mayank Agarwal,c Archer b Sodhi,26,12,15,1,2,216.66,Kings XI Punjab
1,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,David Miller,c Buttler b Kulkarni,40,27,57,2,2,148.14,Kings XI Punjab
1,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Nicholas Pooran,c Rahane b Archer,5,6,6,0,0,83.33,Kings XI Punjab
1,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Mandeep Singh, b Archer,0,2,2,0,0,0.00,Kings XI Punjab
1,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Ravichandran Ashwin (c),not out ,17,4,6,1,2,425.00,Kings XI Punjab
1,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Mujeeb Ur Rahman,not out ,0,1,4,0,0,0.00,Kings XI Punjab
2,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Rahul Tripathi,c Agarwal b R Ashwin,50,45,74,4,0,111.11,Rajasthan Royals
2,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Jos Buttler,c Pooran b Arshdeep Singh,23,17,18,1,2,135.29,Rajasthan Royals
2,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Sanju Samson, b R Ashwin,27,21,33,2,0,128.57,Rajasthan Royals
2,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Ajinkya Rahane (c),c Mohammed Shami b Arshdeep Singh,26,21,37,1,0,123.80,Rajasthan Royals
2,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Ashton Turner,c Miller b M Ashwin,0,1,2,0,0,0.00,Rajasthan Royals
2,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Jofra Archer,c Rahul b Mohammed Shami,1,3,3,0,0,33.33,Rajasthan Royals
2,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Stuart Binny,not out ,33,11,18,2,3,300.00,Rajasthan Royals
2,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Shreyas Gopal,c Agarwal b Mohammed Shami,0,1,4,0,0,0.00,Rajasthan Royals
2,ipl-2019-1165643,kings-xi-punjab-vs-rajasthan-royals-32nd-match-1178407,Jaydev Unadkat,not out ,0,0,4,0,0,-,Rajasthan Royals
