innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Chris Lynn,c Thakur b Imran Tahir,82,51,68,7,6,160.78,Kolkata Knight Riders
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Sunil Narine,c du Plessis b Santner,2,7,24,0,0,28.57,Kolkata Knight Riders
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Nitish Rana,c du Plessis b Imran Tahir,21,18,24,3,0,116.66,Kolkata Knight Riders
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Robin Uthappa,c du Plessis b Imran Tahir,0,1,3,0,0,0.00,Kolkata Knight Riders
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Dinesh Karthik (c)†,c du Plessis b Thakur,18,14,36,2,0,128.57,Kolkata Knight Riders
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Andre Russell,c sub (DR Shorey) b Imran Tahir,10,4,3,1,1,250.00,Kolkata Knight Riders
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Shubman Gill,c Jadeja b Thakur,15,20,28,0,0,75.00,Kolkata Knight Riders
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Piyush Chawla,not out ,4,5,15,0,0,80.00,Kolkata Knight Riders
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Kuldeep Yadav,run out (Dhoni/Thakur),0,0,1,0,0,-,Kolkata Knight Riders
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Shane Watson,lbw b Gurney,6,7,17,1,0,85.71,Chennai Super Kings
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Faf du Plessis, b Narine,24,16,29,5,0,150.00,Chennai Super Kings
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Suresh Raina,not out ,58,42,86,7,1,138.09,Chennai Super Kings
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Ambati Rayudu,c Uthappa b Chawla,5,11,21,0,0,45.45,Chennai Super Kings
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Kedar Jadhav,lbw b Chawla,20,12,9,3,1,166.66,Chennai Super Kings
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,MS Dhoni (c)†,lbw b Narine,16,13,25,0,1,123.07,Chennai Super Kings
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Ravindra Jadeja,not out ,31,17,20,5,0,182.35,Chennai Super Kings
