innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Deepak Chahar,4,0,36,0,9.00,10,4,2,0,0,Chennai Super Kings
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Shardul Thakur,4,0,18,2,4.50,14,2,0,1,0,Chennai Super Kings
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Mitchell Santner,4,0,30,1,7.50,8,1,1,2,0,Chennai Super Kings
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Ravindra Jadeja,4,0,49,0,12.25,6,5,3,1,0,Chennai Super Kings
1,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Imran Tahir,4,0,27,4,6.75,9,1,1,1,0,Chennai Super Kings
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Prasidh Krishna,4,0,30,0,7.50,11,5,0,1,0,Kolkata Knight Riders
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Harry Gurney,4,0,37,1,9.25,5,5,0,0,0,Kolkata Knight Riders
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Andre Russell,1,0,16,0,16.00,2,4,0,0,0,Kolkata Knight Riders
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Sunil Narine,4,1,19,2,4.75,12,2,0,1,0,Kolkata Knight Riders
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Kuldeep Yadav,3,0,28,0,9.33,5,1,2,0,0,Kolkata Knight Riders
2,ipl-2019-1165643,kolkata-knight-riders-vs-chennai-super-kings-29th-match-1178404,Piyush Chawla,3.4,0,32,2,8.72,8,4,1,0,0,Kolkata Knight Riders
