innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Deepak Chahar,3,0,21,1,7.00,9,4,0,0,0,Chennai Super Kings
1,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Shardul Thakur,4,0,37,0,9.25,9,3,2,3,0,Chennai Super Kings
1,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Mohit Sharma,3,0,27,1,9.00,8,4,1,0,0,Chennai Super Kings
1,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Imran Tahir,4,0,25,1,6.25,9,1,1,0,0,Chennai Super Kings
1,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Ravindra Jadeja,2,0,10,1,5.00,6,1,0,0,0,Chennai Super Kings
1,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Dwayne Bravo,4,0,49,1,12.25,5,3,3,1,1,Chennai Super Kings
2,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Jason Behrendorff,4,0,22,2,5.50,15,2,1,1,0,Mumbai Indians
2,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Lasith Malinga,4,0,34,3,8.50,13,4,2,0,1,Mumbai Indians
2,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Hardik Pandya,4,0,20,3,5.00,14,1,1,1,0,Mumbai Indians
2,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Jasprit Bumrah,4,0,27,0,6.75,12,4,0,0,1,Mumbai Indians
2,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Rahul Chahar,2,0,11,0,5.50,5,1,0,1,0,Mumbai Indians
2,ipl-2019-1165643,mumbai-indians-vs-chennai-super-kings-15th-match-1175370,Krunal Pandya,2,0,12,0,6.00,6,1,0,2,0,Mumbai Indians
