innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Shubman Gill,lbw b HH Pandya,9,16,29,0,0,56.25,Kolkata Knight Riders
1,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Chris Lynn,c de Kock b HH Pandya,41,29,41,2,4,141.37,Kolkata Knight Riders
1,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Robin Uthappa,c Sharma b Bumrah,40,47,71,1,3,85.10,Kolkata Knight Riders
1,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Dinesh Karthik (c)†,c KH Pandya b Malinga,3,9,20,0,0,33.33,Kolkata Knight Riders
1,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Andre Russell,c de Kock b Malinga,0,1,3,0,0,0.00,Kolkata Knight Riders
1,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Nitish Rana,c Pollard b Malinga,26,13,24,0,3,200.00,Kolkata Knight Riders
1,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Rinku Singh,c HH Pandya b Bumrah,4,6,17,0,0,66.66,Kolkata Knight Riders
1,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Sunil Narine,not out ,0,0,2,0,0,-,Kolkata Knight Riders
2,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Quinton de Kock,c Karthik b Prasidh Krishna,30,23,33,1,3,130.43,Mumbai Indians
2,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Rohit Sharma (c),not out ,55,48,77,8,0,114.58,Mumbai Indians
2,ipl-2019-1165643,mumbai-indians-vs-kolkata-knight-riders-56th-match-1178431,Suryakumar Yadav,not out ,46,27,45,5,2,170.37,Mumbai Indians
