innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Jason Behrendorff,4,0,49,1,12.25,10,6,3,1,0,Mumbai Indians
1,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Lasith Malinga,4,0,31,4,7.75,8,0,3,0,0,Mumbai Indians
1,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Jasprit Bumrah,4,1,22,0,5.50,14,3,0,0,0,Mumbai Indians
1,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Hardik Pandya,3,0,21,1,7.00,5,1,1,0,0,Mumbai Indians
1,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Rahul Chahar,4,0,31,0,7.75,9,2,2,0,0,Mumbai Indians
1,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Krunal Pandya,1,0,10,0,10.00,1,0,1,0,0,Mumbai Indians
2,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Umesh Yadav,2,0,25,0,12.50,6,4,1,1,0,Royal Challengers Bangalore
2,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Navdeep Saini,3,0,34,0,11.33,5,3,2,1,0,Royal Challengers Bangalore
2,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Mohammed Siraj,2,0,21,1,10.50,4,2,1,2,0,Royal Challengers Bangalore
2,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Yuzvendra Chahal,4,0,27,2,6.75,13,3,1,0,0,Royal Challengers Bangalore
2,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Pawan Negi,4,0,47,0,11.75,8,3,4,2,0,Royal Challengers Bangalore
2,ipl-2019-1165643,mumbai-indians-vs-royal-challengers-bangalore-31st-match-1178406,Moeen Ali,4,0,18,2,4.50,12,0,1,0,0,Royal Challengers Bangalore
