innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Ajinkya Rahane,not out ,105,63,100,11,3,166.66,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Sanju Samson,run out (Rabada),0,0,7,0,0,-,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Steven Smith (c),c Morris b Patel,50,32,57,8,0,156.25,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Ben Stokes,c Iyer b Morris,8,8,15,1,0,100.00,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Ashton Turner,c Rutherford b Sharma,0,1,6,0,0,0.00,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Stuart Binny, b Rabada,19,13,15,2,0,146.15,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Riyan Parag, b Rabada,4,3,3,1,0,133.33,Rajasthan Royals
2,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Prithvi Shaw,c Parag b Gopal,42,39,83,4,1,107.69,Delhi Capitals
2,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Shikhar Dhawan,st Samson b Gopal,54,27,36,8,2,200.00,Delhi Capitals
2,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Shreyas Iyer (c),c Stokes b Parag,4,5,5,0,0,80.00,Delhi Capitals
2,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Rishabh Pant,not out ,78,36,57,6,4,216.66,Delhi Capitals
2,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Sherfane Rutherford,c Parag b Kulkarni,11,5,9,1,1,220.00,Delhi Capitals
2,ipl-2019-1165643,rajasthan-royals-vs-delhi-capitals-40th-match-1178415,Colin Ingram,not out ,3,5,8,0,0,60.00,Delhi Capitals
