innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Dhawal Kulkarni,4,0,30,1,7.50,10,4,0,3,0,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Krishnappa Gowtham,4,0,32,1,8.00,10,2,2,1,0,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Jofra Archer,4,0,17,0,4.25,13,0,1,0,0,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Ben Stokes,4,0,48,2,12.00,8,5,2,3,0,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Jaydev Unadkat,3,0,44,0,14.66,4,6,2,1,0,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Shreyas Gopal,1,0,5,0,5.00,2,0,0,0,0,Rajasthan Royals
2,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Sam Curran,4,0,52,2,13.00,7,7,2,1,0,Kings XI Punjab
2,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Mujeeb Ur Rahman,4,0,31,2,7.75,11,2,2,1,0,Kings XI Punjab
2,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Mohammed Shami,4,0,33,0,8.25,8,3,1,0,0,Kings XI Punjab
2,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Ravichandran Ashwin,4,0,20,1,5.00,6,0,0,0,0,Kings XI Punjab
2,ipl-2019-1165643,rajasthan-royals-vs-kings-xi-punjab-4th-match-1175359,Ankit Rajpoot,4,0,33,2,8.25,9,4,0,0,2,Kings XI Punjab
