innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Stuart Binny,3,0,19,1,6.33,8,2,0,0,0,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Dhawal Kulkarni,3,0,31,0,10.33,6,4,1,1,0,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Shreyas Gopal,4,0,21,2,5.25,8,1,0,0,0,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Jofra Archer,4,0,22,1,5.50,14,2,1,0,0,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Jaydev Unadkat,4,0,46,1,11.50,6,2,3,3,0,Rajasthan Royals
1,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Riyan Parag,2,0,17,0,8.50,2,0,1,0,0,Rajasthan Royals
2,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Hardik Pandya,4,0,31,0,7.75,10,5,0,0,0,Mumbai Indians
2,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Krunal Pandya,2,0,24,0,12.00,1,4,0,0,0,Mumbai Indians
2,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Lasith Malinga,3.1,0,27,0,8.52,6,4,0,0,0,Mumbai Indians
2,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Rahul Chahar,4,0,29,3,7.25,10,3,1,0,0,Mumbai Indians
2,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Jasprit Bumrah,4,0,21,1,5.25,8,1,0,0,0,Mumbai Indians
2,ipl-2019-1165643,rajasthan-royals-vs-mumbai-indians-36th-match-1178411,Mayank Markande,2,0,24,0,12.00,4,2,2,0,0,Mumbai Indians
