innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,David Warner,c Mujeeb Ur Rahman b R Ashwin,81,56,78,7,2,144.64,Sunrisers Hyderabad
1,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Wriddhiman Saha,c Prabhsimran Singh b M Ashwin,28,13,34,3,1,215.38,Sunrisers Hyderabad
1,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Manish Pandey,c Mohammed Shami b R Ashwin,36,25,40,3,1,144.00,Sunrisers Hyderabad
1,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Mohammad Nabi, b Mohammed Shami,20,10,21,0,2,200.00,Sunrisers Hyderabad
1,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Kane Williamson (c),c M Ashwin b Mohammed Shami,14,7,16,1,1,200.00,Sunrisers Hyderabad
1,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Rashid Khan, b Arshdeep Singh,1,2,7,0,0,50.00,Sunrisers Hyderabad
1,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Vijay Shankar,not out ,7,4,9,0,0,175.00,Sunrisers Hyderabad
1,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Abhishek Sharma,not out ,5,3,5,1,0,166.66,Sunrisers Hyderabad
2,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,KL Rahul,c Williamson b Ahmed,79,56,95,4,5,141.07,Kings XI Punjab
2,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Chris Gayle,c Pandey b Ahmed,4,3,14,1,0,133.33,Kings XI Punjab
2,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Mayank Agarwal,c Shankar b Rashid Khan,27,18,34,2,1,150.00,Kings XI Punjab
2,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Nicholas Pooran,c Kumar b Ahmed,21,10,12,2,2,210.00,Kings XI Punjab
2,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,David Miller,c Shankar b Rashid Khan,11,11,9,1,0,100.00,Kings XI Punjab
2,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Ravichandran Ashwin (c),c Pandey b Rashid Khan,0,1,2,0,0,0.00,Kings XI Punjab
2,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Prabhsimran Singh,lbw b Sandeep Sharma,16,17,32,1,1,94.11,Kings XI Punjab
2,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Murugan Ashwin,not out ,1,1,9,0,0,100.00,Kings XI Punjab
2,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Mujeeb Ur Rahman, b Sandeep Sharma,0,3,3,0,0,0.00,Kings XI Punjab
2,ipl-2019-1165643,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-1178423,Mohammed Shami,not out ,1,1,2,0,0,100.00,Kings XI Punjab
