innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Prithvi Shaw,c Jordan b Mohammed Shami,5,9,-,1,0,55.55,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Shikhar Dhawan,run out (Rahul/Gowtham),0,2,-,0,0,0.00,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Shimron Hetmyer,c Agarwal b Mohammed Shami,7,13,-,1,0,53.84,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Shreyas Iyer (c),c Jordan b Mohammed Shami,39,32,-,0,3,121.87,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Rishabh Pant, b Ravi Bishnoi,31,29,-,4,0,106.89,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Marcus Stoinis,run out (Pooran/Rahul),53,21,-,7,3,252.38,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Axar Patel,c Rahul b Cottrell,6,9,-,0,0,66.66,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Ravichandran Ashwin,c Mohammed Shami b Cottrell,4,6,-,0,0,66.66,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Kagiso Rabada,not out ,0,0,-,0,0,-,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Anrich Nortje,not out ,3,1,-,0,0,300.00,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,KL Rahul (c)†, b Sharma,21,19,-,2,1,110.52,Kings XI Punjab
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Mayank Agarwal,c Hetmyer b Stoinis,89,60,-,7,4,148.33,Kings XI Punjab
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Karun Nair,c Shaw b Ashwin,1,3,-,0,0,33.33,Kings XI Punjab
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Nicholas Pooran, b Ashwin,0,3,-,0,0,0.00,Kings XI Punjab
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Glenn Maxwell,c Iyer b Rabada,1,4,-,0,0,25.00,Kings XI Punjab
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Sarfaraz Khan,c Shaw b Patel,12,12,-,2,0,100.00,Kings XI Punjab
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Krishnappa Gowtham,c Pant b Rabada,20,14,-,1,1,142.85,Kings XI Punjab
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Chris Jordan,c Rabada b Stoinis,5,6,-,0,0,83.33,Kings XI Punjab
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Mohammed Shami,not out ,0,0,-,0,0,-,Kings XI Punjab
