innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Sheldon Cottrell,4,0,24,2,6.00,13,4,0,1,0,Kings XI Punjab
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Mohammed Shami,4,0,15,3,3.75,15,1,0,1,1,Kings XI Punjab
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Chris Jordan,4,0,56,0,14.00,8,5,3,3,1,Kings XI Punjab
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Krishnappa Gowtham,4,0,39,0,9.75,5,1,3,0,0,Kings XI Punjab
1,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Ravi Bishnoi,4,0,22,1,5.50,9,2,0,1,0,Kings XI Punjab
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Anrich Nortje,4,0,33,0,8.25,11,6,0,0,0,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Mohit Sharma,4,0,45,1,11.25,7,1,4,0,1,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Kagiso Rabada,4,0,28,2,7.00,10,3,0,1,0,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Ravichandran Ashwin,1,0,2,2,2.00,4,0,0,0,0,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Axar Patel,4,0,14,1,3.50,11,0,0,0,0,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-kings-xi-punjab-2nd-match-1216493,Marcus Stoinis,3,0,29,2,9.66,6,2,2,0,0,Delhi Capitals
