innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Prithvi Shaw,c Shubman Gill b Nagarkoti,66,41,-,4,4,160.97,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Shikhar Dhawan,c Morgan b Varun,26,16,-,2,2,162.50,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Shreyas Iyer (c),not out ,88,38,-,7,6,231.57,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Rishabh Pant,c Shivam Mavi b Russell,38,17,-,5,1,223.52,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Marcus Stoinis,c Varun b Russell,1,3,-,0,0,33.33,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Shimron Hetmyer,not out ,7,5,-,0,1,140.00,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Shubman Gill,c Pant b Mishra,28,22,-,2,1,127.27,Kolkata Knight Riders
2,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Sunil Narine, b Nortje,3,5,-,0,0,60.00,Kolkata Knight Riders
2,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Nitish Rana,c sub (AR Patel) b Patel,58,35,-,4,4,165.71,Kolkata Knight Riders
2,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Andre Russell,c Nortje b Rabada,13,8,-,1,1,162.50,Kolkata Knight Riders
2,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Dinesh Karthik (c)†,c Dhawan b Patel,6,8,-,0,0,75.00,Kolkata Knight Riders
2,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Eoin Morgan,c Hetmyer b Nortje,44,18,-,1,5,244.44,Kolkata Knight Riders
2,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Pat Cummins,c Patel b Nortje,5,4,-,1,0,125.00,Kolkata Knight Riders
2,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Rahul Tripathi, b Stoinis,36,16,-,3,3,225.00,Kolkata Knight Riders
2,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Kamlesh Nagarkoti,not out ,3,3,-,0,0,100.00,Kolkata Knight Riders
2,ipl-2020-21-1210595,delhi-capitals-vs-kolkata-knight-riders-16th-match-1216515,Shivam Mavi,not out ,1,3,-,0,0,33.33,Kolkata Knight Riders
