innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Prithvi Shaw,c de Kock b Boult,10,11,-,2,0,90.90,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Shikhar Dhawan,c SA Yadav b Boult,0,2,-,0,0,0.00,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Shreyas Iyer (c),st de Kock b Chahar,25,29,-,1,1,86.20,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Rishabh Pant,lbw b Bumrah,21,24,-,2,0,87.50,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Marcus Stoinis,c de Kock b Bumrah,2,3,-,0,0,66.66,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Shimron Hetmyer,c Pandya b Coulter-Nile,11,13,-,1,0,84.61,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Harshal Patel,lbw b Bumrah,5,9,-,1,0,55.55,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Ravichandran Ashwin,c Pandya b Boult,12,9,-,0,1,133.33,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Praveen Dubey,not out ,7,13,-,0,0,53.84,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Kagiso Rabada,run out (Bumrah),12,7,-,0,1,171.42,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Ishan Kishan,not out ,72,47,-,8,3,153.19,Mumbai Indians
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Quinton de Kock, b Nortje,26,28,-,2,0,92.85,Mumbai Indians
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Suryakumar Yadav,not out ,12,11,-,1,0,109.09,Mumbai Indians
