innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Trent Boult,4,0,21,3,5.25,16,2,1,0,0,Mumbai Indians
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Krunal Pandya,3,0,13,0,4.33,9,1,0,1,0,Mumbai Indians
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Jayant Yadav,3,0,18,0,6.00,6,0,1,0,0,Mumbai Indians
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Jasprit Bumrah,4,0,17,3,4.25,15,2,0,1,0,Mumbai Indians
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Nathan Coulter-Nile,2,0,14,1,7.00,6,0,1,0,0,Mumbai Indians
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Rahul Chahar,4,0,24,1,6.00,10,2,0,0,0,Mumbai Indians
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Ravichandran Ashwin,4,0,18,0,4.50,11,1,0,0,0,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Kagiso Rabada,3,0,27,0,9.00,7,2,1,0,0,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Anrich Nortje,2.2,0,25,1,10.71,6,4,1,0,0,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Marcus Stoinis,1,0,4,0,4.00,2,0,0,0,0,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Praveen Dubey,3,0,29,0,9.66,4,3,1,0,0,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-51st-match-1216535,Harshal Patel,1,0,8,0,8.00,2,1,0,1,0,Delhi Capitals
