innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Marcus Stoinis,c de Kock b Boult,0,1,-,0,0,0.00,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Shikhar Dhawan, b J Yadav,15,13,-,3,0,115.38,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Ajinkya Rahane,c de Kock b Boult,2,4,-,0,0,50.00,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Shreyas Iyer (c),not out ,65,50,-,6,2,130.00,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Rishabh Pant,c HH Pandya b Coulter-Nile,56,38,-,4,2,147.36,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Shimron Hetmyer,c Coulter-Nile b Boult,5,5,-,1,0,100.00,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Axar Patel,c sub (AS Roy) b Coulter-Nile,9,9,-,1,0,100.00,Delhi Capitals
1,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Kagiso Rabada,run out (SA Yadav/Coulter-Nile),0,0,-,0,0,-,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Rohit Sharma (c),c sub (Lalit Yadav) b Nortje,68,51,-,5,4,133.33,Mumbai Indians
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Quinton de Kock,c Pant b Stoinis,20,12,-,3,1,166.66,Mumbai Indians
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Suryakumar Yadav,run out (Dubey/Pant),19,20,-,1,1,95.00,Mumbai Indians
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Ishan Kishan,not out ,33,19,-,3,1,173.68,Mumbai Indians
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Kieron Pollard, b Rabada,9,4,-,2,0,225.00,Mumbai Indians
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Hardik Pandya,c Rahane b Nortje,3,5,-,0,0,60.00,Mumbai Indians
2,ipl-2020-21-1210595,delhi-capitals-vs-mumbai-indians-final-1237181,Krunal Pandya,not out ,1,1,-,0,0,100.00,Mumbai Indians
