innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,David Warner (c),c Pant b Mishra,45,33,-,3,2,136.36,Sunrisers Hyderabad
1,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Jonny Bairstow,c Nortje b Rabada,53,48,-,2,1,110.41,Sunrisers Hyderabad
1,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Manish Pandey,c Rabada b Mishra,3,5,-,0,0,60.00,Sunrisers Hyderabad
1,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Kane Williamson,c Patel b Rabada,41,26,-,5,0,157.69,Sunrisers Hyderabad
1,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Abdul Samad,not out ,12,7,-,1,1,171.42,Sunrisers Hyderabad
1,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Abhishek Sharma,not out ,1,1,-,0,0,100.00,Sunrisers Hyderabad
2,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Prithvi Shaw,c Bairstow b Kumar,2,5,-,0,0,40.00,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Shikhar Dhawan,c Bairstow b Rashid Khan,34,31,-,4,0,109.67,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Shreyas Iyer (c),c Abdul Samad b Rashid Khan,17,21,-,2,0,80.95,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Rishabh Pant,c Garg b Rashid Khan,28,27,-,1,2,103.70,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Shimron Hetmyer,c Pandey b Kumar,21,12,-,0,2,175.00,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Marcus Stoinis,lbw b Natarajan,11,9,-,1,0,122.22,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Axar Patel, b Ahmed,5,6,-,0,0,83.33,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Kagiso Rabada,not out ,15,7,-,1,1,214.28,Delhi Capitals
2,ipl-2020-21-1210595,delhi-capitals-vs-sunrisers-hyderabad-11th-match-1216532,Anrich Nortje,not out ,3,2,-,0,0,150.00,Delhi Capitals
