innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Glenn Maxwell,2,0,21,1,10.50,4,1,2,0,0,Kings XI Punjab
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Mohammed Shami,4,0,35,3,8.75,13,3,3,0,0,Kings XI Punjab
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Arshdeep Singh,2,0,18,0,9.00,5,3,0,1,0,Kings XI Punjab
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Murugan Ashwin,4,0,27,1,6.75,13,2,2,0,0,Kings XI Punjab
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Chris Jordan,4,0,25,2,6.25,11,3,0,2,0,Kings XI Punjab
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Ravi Bishnoi,4,1,20,2,5.00,11,0,1,0,0,Kings XI Punjab
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Pat Cummins,4,0,31,0,7.75,13,3,2,0,0,Kolkata Knight Riders
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Prasidh Krishna,3,0,24,0,8.00,7,4,0,0,0,Kolkata Knight Riders
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Varun Chakravarthy,4,0,34,1,8.50,10,3,2,0,0,Kolkata Knight Riders
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Sunil Narine,4,0,27,0,6.75,9,0,2,0,0,Kolkata Knight Riders
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-kings-xi-punjab-46th-match-1216520,Lockie Ferguson,3.5,0,32,1,8.34,9,4,1,1,0,Kolkata Knight Riders
