innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Sandeep Warrier,3,0,34,0,11.33,8,5,1,3,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Shivam Mavi,4,1,32,2,8.00,10,2,0,3,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Pat Cummins,3,0,49,0,16.33,3,3,4,3,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Sunil Narine,4,0,22,1,5.50,8,2,0,0,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Andre Russell,2,0,17,1,8.50,4,1,1,0,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Kuldeep Yadav,4,0,39,0,9.75,3,0,3,1,1,Kolkata Knight Riders
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Trent Boult,4,1,30,2,7.50,13,6,0,0,0,Mumbai Indians
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,James Pattinson,4,0,25,2,6.25,13,1,2,1,0,Mumbai Indians
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Jasprit Bumrah,4,0,32,2,8.00,14,0,4,1,0,Mumbai Indians
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Rahul Chahar,4,0,26,2,6.50,11,2,1,0,0,Mumbai Indians
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Kieron Pollard,3,0,21,1,7.00,4,2,0,1,0,Mumbai Indians
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-mumbai-indians-5th-match-1216508,Krunal Pandya,1,0,10,0,10.00,2,2,0,0,0,Mumbai Indians
