innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Shubman Gill,c Morris b Saini,1,6,-,0,0,16.66,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Rahul Tripathi,c de Villiers b Mohammed Siraj,1,5,-,0,0,20.00,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Nitish Rana, b Mohammed Siraj,0,1,-,0,0,0.00,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Tom Banton,c de Villiers b Mohammed Siraj,10,8,-,1,1,125.00,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Dinesh Karthik,lbw b Chahal,4,14,-,0,0,28.57,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Eoin Morgan (c),c Gurkeerat Singh b Washington Sundar,30,34,-,3,1,88.23,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Pat Cummins,c Padikkal b Chahal,4,17,-,0,0,23.52,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Kuldeep Yadav,run out (Gurkeerat Singh/Morris),12,19,-,1,0,63.15,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Lockie Ferguson,not out ,19,16,-,1,0,118.75,Kolkata Knight Riders
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Devdutt Padikkal,run out (Cummins),25,17,-,3,0,147.05,Royal Challengers Bangalore
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Aaron Finch,c Karthik b Ferguson,16,21,-,2,0,76.19,Royal Challengers Bangalore
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Gurkeerat Singh Mann,not out ,21,26,-,4,0,80.76,Royal Challengers Bangalore
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Virat Kohli (c),not out ,18,17,-,2,0,105.88,Royal Challengers Bangalore
