innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Chris Morris,4,1,16,0,4.00,15,1,0,1,0,Royal Challengers Bangalore
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Mohammed Siraj,4,2,8,3,2.00,16,0,0,0,0,Royal Challengers Bangalore
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Navdeep Saini,3,0,23,1,7.66,11,2,2,0,0,Royal Challengers Bangalore
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Isuru Udana,1,0,6,0,6.00,3,1,0,0,0,Royal Challengers Bangalore
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Yuzvendra Chahal,4,0,15,2,3.75,13,1,0,0,0,Royal Challengers Bangalore
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Washington Sundar,4,1,14,1,3.50,14,1,0,0,0,Royal Challengers Bangalore
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Pat Cummins,3,0,18,0,6.00,9,2,0,1,0,Kolkata Knight Riders
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Prasidh Krishna,2.3,0,20,0,8.00,5,2,0,1,0,Kolkata Knight Riders
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Varun Chakravarthy,4,0,28,0,7.00,11,5,0,0,0,Kolkata Knight Riders
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494,Lockie Ferguson,4,0,17,1,4.25,14,2,0,1,0,Kolkata Knight Riders
