innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Sunil Narine,4,0,31,0,7.75,5,1,1,0,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Pat Cummins,4,0,19,1,4.75,11,2,0,0,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Shivam Mavi,2,0,15,0,7.50,6,1,1,1,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Kuldeep Yadav,2,0,15,0,7.50,3,0,1,0,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Varun Chakravarthy,4,0,25,1,6.25,9,1,1,0,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Kamlesh Nagarkoti,2,0,17,0,8.50,2,1,0,1,0,Kolkata Knight Riders
1,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Andre Russell,2,0,16,1,8.00,4,2,0,1,0,Kolkata Knight Riders
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Bhuvneshwar Kumar,3,0,29,0,9.66,7,3,1,0,1,Sunrisers Hyderabad
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Khaleel Ahmed,3,0,28,1,9.33,10,5,1,0,0,Sunrisers Hyderabad
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,T Natarajan,3,0,27,1,9.00,6,3,1,1,0,Sunrisers Hyderabad
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Rashid Khan,4,0,25,1,6.25,8,3,0,0,0,Sunrisers Hyderabad
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Mohammad Nabi,4,0,23,0,5.75,5,0,0,2,0,Sunrisers Hyderabad
2,ipl-2020-21-1210595,kolkata-knight-riders-vs-sunrisers-hyderabad-8th-match-1216545,Abhishek Sharma,1,0,11,0,11.00,0,0,1,0,0,Sunrisers Hyderabad
