innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Trent Boult,4,0,36,1,9.00,9,6,0,2,0,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,James Pattinson,3,0,37,0,12.33,6,7,0,3,0,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Jasprit Bumrah,4,0,26,0,6.50,7,1,0,0,0,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Krunal Pandya,4,0,26,2,6.50,8,1,1,0,0,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Kieron Pollard,1,0,10,0,10.00,0,1,0,0,0,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Rahul Chahar,4,0,27,0,6.75,3,1,0,0,0,Mumbai Indians
2,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Kagiso Rabada,4,0,28,2,7.00,13,1,2,3,0,Delhi Capitals
2,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Anrich Nortje,4,0,28,0,7.00,11,1,2,1,0,Delhi Capitals
2,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Axar Patel,3,0,24,1,8.00,6,3,0,0,0,Delhi Capitals
2,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Ravichandran Ashwin,4,0,35,1,8.75,4,3,1,0,0,Delhi Capitals
2,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Harshal Patel,2,0,20,0,10.00,1,3,0,0,0,Delhi Capitals
2,ipl-2020-21-1210595,mumbai-indians-vs-delhi-capitals-27th-match-1216529,Marcus Stoinis,2.4,0,31,1,11.62,2,4,1,0,0,Delhi Capitals
