innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Rohit Sharma (c), b Arshdeep Singh,9,8,-,2,0,112.50,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Quinton de Kock,c Agarwal b Jordan,53,43,-,3,3,123.25,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Suryakumar Yadav,c Ashwin b Mohammed Shami,0,4,-,0,0,0.00,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Ishan Kishan,c Ashwin b Arshdeep Singh,7,7,-,1,0,100.00,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Krunal Pandya,c Hooda b Ravi Bishnoi,34,30,-,4,1,113.33,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Hardik Pandya,c Pooran b Mohammed Shami,8,4,-,0,1,200.00,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Kieron Pollard,not out ,34,12,-,1,4,283.33,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Nathan Coulter-Nile,not out ,24,12,-,4,0,200.00,Mumbai Indians
2,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,KL Rahul (c)†, b Bumrah,77,51,-,7,3,150.98,Kings XI Punjab
2,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Mayank Agarwal, b Bumrah,11,10,-,1,0,110.00,Kings XI Punjab
2,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Chris Gayle,c Boult b Chahar,24,21,-,1,2,114.28,Kings XI Punjab
2,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Nicholas Pooran,c Coulter-Nile b Bumrah,24,12,-,2,2,200.00,Kings XI Punjab
2,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Glenn Maxwell,c Sharma b Chahar,0,2,-,0,0,0.00,Kings XI Punjab
2,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Deepak Hooda,not out ,23,16,-,1,1,143.75,Kings XI Punjab
2,ipl-2020-21-1210595,mumbai-indians-vs-kings-xi-punjab-36th-match-1216517,Chris Jordan,run out (Pollard/de Kock),13,8,-,2,0,162.50,Kings XI Punjab
