innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,Trent Boult,4,0,40,1,10.00,10,6,1,1,0,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,Jasprit Bumrah,4,1,14,3,3.50,15,1,0,1,0,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,Krunal Pandya,4,0,27,0,6.75,8,3,0,0,0,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,James Pattinson,3,0,35,0,11.66,4,5,1,0,0,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,Rahul Chahar,4,0,43,1,10.75,8,6,1,1,0,Mumbai Indians
1,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,Kieron Pollard,1,0,5,1,5.00,2,0,0,0,0,Mumbai Indians
2,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,Chris Morris,4,0,36,1,9.00,10,3,2,1,0,Royal Challengers Bangalore
2,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,Dale Steyn,4,0,43,0,10.75,10,3,3,3,0,Royal Challengers Bangalore
2,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,Washington Sundar,4,0,20,0,5.00,10,1,0,1,0,Royal Challengers Bangalore
2,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,Mohammed Siraj,3.1,0,28,2,8.84,10,5,0,1,0,Royal Challengers Bangalore
2,ipl-2020-21-1210595,mumbai-indians-vs-royal-challengers-bangalore-48th-match-1216499,Yuzvendra Chahal,4,0,37,2,9.25,8,3,2,0,0,Royal Challengers Bangalore
