innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,rajasthan-royals-vs-chennai-super-kings-4th-match-1216496,Deepak Chahar,4,0,31,1,7.75,8,3,1,0,0,Chennai Super Kings
1,ipl-2020-21-1210595,rajasthan-royals-vs-chennai-super-kings-4th-match-1216496,Sam Curran,4,0,33,3,8.25,9,3,1,1,0,Chennai Super Kings
1,ipl-2020-21-1210595,rajasthan-royals-vs-chennai-super-kings-4th-match-1216496,Lungi Ngidi,4,0,56,1,14.00,7,2,5,2,2,Chennai Super Kings
1,ipl-2020-21-1210595,rajasthan-royals-vs-chennai-super-kings-4th-match-1216496,Ravindra Jadeja,4,0,40,0,10.00,6,0,4,2,0,Chennai Super Kings
1,ipl-2020-21-1210595,rajasthan-royals-vs-chennai-super-kings-4th-match-1216496,Piyush Chawla,4,0,55,1,13.75,4,1,6,0,1,Chennai Super Kings
2,ipl-2020-21-1210595,rajasthan-royals-vs-chennai-super-kings-4th-match-1216496,Jaydev Unadkat,4,0,44,0,11.00,3,2,3,2,0,Rajasthan Royals
2,ipl-2020-21-1210595,rajasthan-royals-vs-chennai-super-kings-4th-match-1216496,Jofra Archer,4,0,26,1,6.50,13,1,2,1,0,Rajasthan Royals
2,ipl-2020-21-1210595,rajasthan-royals-vs-chennai-super-kings-4th-match-1216496,Shreyas Gopal,4,0,38,1,9.50,6,5,1,0,0,Rajasthan Royals
2,ipl-2020-21-1210595,rajasthan-royals-vs-chennai-super-kings-4th-match-1216496,Tom Curran,4,0,54,1,13.50,6,1,6,0,1,Rajasthan Royals
2,ipl-2020-21-1210595,rajasthan-royals-vs-chennai-super-kings-4th-match-1216496,Rahul Tewatia,4,0,37,3,9.25,7,0,4,0,0,Rajasthan Royals
