innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,Jofra Archer,4,0,31,2,7.75,11,2,2,1,0,Rajasthan Royals
1,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,Ankit Rajpoot,4,0,60,0,15.00,7,3,6,4,0,Rajasthan Royals
1,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,Kartik Tyagi,4,0,45,1,11.25,6,4,3,0,0,Rajasthan Royals
1,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,Shreyas Gopal,4,0,30,2,7.50,8,3,1,0,0,Rajasthan Royals
1,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,Rahul Tewatia,4,0,25,0,6.25,8,2,0,0,0,Rajasthan Royals
2,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,Trent Boult,4,0,40,0,10.00,7,6,0,0,0,Mumbai Indians
2,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,James Pattinson,3.2,0,40,2,12.00,9,5,2,2,0,Mumbai Indians
2,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,Jasprit Bumrah,4,0,38,0,9.50,7,4,1,1,0,Mumbai Indians
2,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,Krunal Pandya,2,0,20,0,10.00,5,4,0,0,0,Mumbai Indians
2,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,Kieron Pollard,2,0,18,0,9.00,3,0,1,3,0,Mumbai Indians
2,ipl-2020-21-1210595,rajasthan-royals-vs-mumbai-indians-45th-match-1216541,Rahul Chahar,3,0,36,0,12.00,4,2,3,1,0,Mumbai Indians
