innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,Devdutt Padikkal,c Gaikwad b Santner,22,21,-,2,1,104.76,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,Aaron Finch,c Gaikwad b Curran,15,11,-,3,0,136.36,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,Virat Kohli (c),c du Plessis b Curran,50,43,-,1,1,116.27,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,AB de Villiers,c du Plessis b Chahar,39,36,-,4,0,108.33,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,Moeen Ali,c Santner b Curran,1,2,-,0,0,50.00,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,Chris Morris, b Chahar,2,5,-,0,0,40.00,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,Gurkeerat Singh Mann,not out ,2,2,-,0,0,100.00,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,Washington Sundar,not out ,5,2,-,1,0,250.00,Royal Challengers Bangalore
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,Ruturaj Gaikwad,not out ,65,51,-,4,3,127.45,Chennai Super Kings
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,Faf du Plessis,c Mohammed Siraj b Morris,25,13,-,2,2,192.30,Chennai Super Kings
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,Ambati Rayudu, b Chahal,39,27,-,3,2,144.44,Chennai Super Kings
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-chennai-super-kings-44th-match-1216544,MS Dhoni (c)†,not out ,19,21,-,3,0,90.47,Chennai Super Kings
