innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Glenn Maxwell,4,0,28,0,7.00,6,1,1,0,0,Kings XI Punjab
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Mohammed Shami,4,0,45,2,11.25,6,2,4,0,0,Kings XI Punjab
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Arshdeep Singh,2,0,20,1,10.00,3,3,0,1,0,Kings XI Punjab
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Ravi Bishnoi,3,0,29,0,9.66,6,1,2,2,0,Kings XI Punjab
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Murugan Ashwin,4,0,23,2,5.75,7,1,0,0,0,Kings XI Punjab
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Chris Jordan,3,0,20,1,6.66,5,0,1,2,0,Kings XI Punjab
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Chris Morris,4,0,22,0,5.50,12,0,1,3,0,Royal Challengers Bangalore
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Navdeep Saini,4,0,21,0,5.25,14,2,1,0,0,Royal Challengers Bangalore
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Yuzvendra Chahal,3,0,35,1,11.66,8,2,3,1,0,Royal Challengers Bangalore
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Isuru Udana,2,0,14,0,7.00,4,0,1,1,0,Royal Challengers Bangalore
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Mohammed Siraj,3,0,44,0,14.66,2,2,4,1,0,Royal Challengers Bangalore
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-kings-xi-punjab-31st-match-1216531,Washington Sundar,4,0,38,0,9.50,6,0,4,0,0,Royal Challengers Bangalore
