innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Virat Kohli (c),c Goswami b Holder,6,7,-,0,0,85.71,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Devdutt Padikkal,c Garg b Holder,1,6,-,0,0,16.66,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Aaron Finch,c Abdul Samad b Nadeem,32,30,-,3,1,106.66,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,AB de Villiers, b Natarajan,56,43,-,5,0,130.23,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Moeen Ali,run out (Rashid Khan),0,1,-,0,0,0.00,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Shivam Dube,c Warner b Holder,8,13,-,0,0,61.53,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Washington Sundar,c Abdul Samad b Natarajan,5,6,-,0,0,83.33,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Navdeep Saini,not out ,9,8,-,1,0,112.50,Royal Challengers Bangalore
1,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Mohammed Siraj,not out ,10,7,-,1,0,142.85,Royal Challengers Bangalore
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,David Warner (c),c de Villiers b Mohammed Siraj,17,17,-,3,0,100.00,Sunrisers Hyderabad
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Shreevats Goswami,c de Villiers b Mohammed Siraj,0,3,-,0,0,0.00,Sunrisers Hyderabad
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Manish Pandey,c de Villiers b Zampa,24,21,-,3,1,114.28,Sunrisers Hyderabad
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Kane Williamson,not out ,50,44,-,2,2,113.63,Sunrisers Hyderabad
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Priyam Garg,c Zampa b Chahal,7,14,-,0,0,50.00,Sunrisers Hyderabad
2,ipl-2020-21-1210595,royal-challengers-bangalore-vs-sunrisers-hyderabad-eliminator-1237178,Jason Holder,not out ,24,20,-,3,0,120.00,Sunrisers Hyderabad
