innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Sam Curran, b Sandeep Sharma,31,21,-,3,2,147.61,Chennai Super Kings
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Faf du Plessis,c Bairstow b Sandeep Sharma,0,1,-,0,0,0.00,Chennai Super Kings
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Shane Watson,c Pandey b Natarajan,42,38,-,1,3,110.52,Chennai Super Kings
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Ambati Rayudu,c Warner b Ahmed,41,34,-,3,2,120.58,Chennai Super Kings
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,MS Dhoni (c)†,c Williamson b Natarajan,21,13,-,2,1,161.53,Chennai Super Kings
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Ravindra Jadeja,not out ,25,10,-,3,1,250.00,Chennai Super Kings
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Dwayne Bravo, b Ahmed,0,1,-,0,0,0.00,Chennai Super Kings
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Deepak Chahar,not out ,2,2,-,0,0,100.00,Chennai Super Kings
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,David Warner (c),c & b Curran,9,13,-,0,0,69.23,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Jonny Bairstow, b Jadeja,23,24,-,2,0,95.83,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Manish Pandey,run out (Bravo),4,3,-,1,0,133.33,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Kane Williamson,c Thakur b Sharma,57,39,-,7,0,146.15,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Priyam Garg,c Jadeja b Sharma,16,18,-,1,0,88.88,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Vijay Shankar,c Jadeja b Bravo,12,7,-,0,1,171.42,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Rashid Khan,hit wicket b Thakur,14,8,-,1,1,175.00,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Shahbaz Nadeem,c & b Bravo,5,5,-,1,0,100.00,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,Sandeep Sharma,not out ,1,2,-,0,0,50.00,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-chennai-super-kings-29th-match-1216528,T Natarajan,not out ,0,1,-,0,0,0.00,Sunrisers Hyderabad
