innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Anrich Nortje,4,0,37,1,9.25,11,6,0,3,0,Delhi Capitals
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Kagiso Rabada,4,0,54,0,13.50,6,7,2,0,0,Delhi Capitals
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Ravichandran Ashwin,3,0,35,1,11.66,4,4,1,0,0,Delhi Capitals
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Axar Patel,4,0,36,0,9.00,7,3,1,1,0,Delhi Capitals
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Tushar Deshpande,3,0,35,0,11.66,3,4,1,0,0,Delhi Capitals
1,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Marcus Stoinis,2,0,15,0,7.50,2,1,0,0,0,Delhi Capitals
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Sandeep Sharma,4,0,27,2,6.75,11,4,0,2,0,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Shahbaz Nadeem,1,0,8,1,8.00,2,1,0,1,0,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Jason Holder,4,0,46,1,11.50,6,5,2,1,0,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Rashid Khan,4,0,7,3,1.75,17,0,0,0,0,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,T Natarajan,4,0,26,2,6.50,11,2,1,0,0,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,Vijay Shankar,1.5,0,11,1,6.00,3,1,0,0,0,Sunrisers Hyderabad
2,ipl-2020-21-1210595,sunrisers-hyderabad-vs-delhi-capitals-47th-match-1216524,David Warner,0.1,0,2,0,12.00,0,0,0,1,0,Sunrisers Hyderabad
