innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Mohammed Shami,4,0,22,1,5.50,14,2,1,1,0,Punjab Kings
1,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Harpreet Brar,4,0,22,0,5.50,12,2,0,2,0,Punjab Kings
1,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Arshdeep Singh,4,0,35,2,8.75,6,3,1,1,0,Punjab Kings
1,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Chris Jordan,3,0,20,2,6.66,6,2,0,1,0,Punjab Kings
1,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Ravi Bishnoi,4,0,25,1,6.25,10,3,0,1,0,Punjab Kings
1,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Moises Henriques,1,0,9,0,9.00,1,1,0,1,0,Punjab Kings
2,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Deepak Chahar,4,0,48,1,12.00,5,3,3,3,0,Chennai Super Kings
2,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Josh Hazlewood,3,0,22,0,7.33,10,3,1,0,0,Chennai Super Kings
2,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Shardul Thakur,3,0,28,3,9.33,10,3,2,0,0,Chennai Super Kings
2,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Ravindra Jadeja,1,0,9,0,9.00,2,0,1,0,0,Chennai Super Kings
2,ipl-2021-1249214,chennai-super-kings-vs-punjab-kings-53rd-match-1254094,Dwayne Bravo,2,0,32,0,16.00,0,0,3,2,0,Chennai Super Kings
