innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Ruturaj Gaikwad,c Jamieson b Chahal,33,25,49,4,1,132.00,Chennai Super Kings
1,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Faf du Plessis,c Christian b Patel,50,41,74,5,1,121.95,Chennai Super Kings
1,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Suresh Raina,c Padikkal b Patel,24,18,24,1,3,133.33,Chennai Super Kings
1,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Ambati Rayudu,c Jamieson b Patel,14,7,24,1,1,200.00,Chennai Super Kings
1,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Ravindra Jadeja,not out ,62,28,38,4,5,221.42,Chennai Super Kings
1,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,MS Dhoni (c)†,not out ,2,3,17,0,0,66.66,Chennai Super Kings
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Virat Kohli (c),c Dhoni b Curran,8,7,18,1,0,114.28,Royal Challengers Bangalore
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Devdutt Padikkal,c Raina b Thakur,34,15,26,4,2,226.66,Royal Challengers Bangalore
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Washington Sundar,c Gaikwad b Jadeja,7,11,16,1,0,63.63,Royal Challengers Bangalore
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Glenn Maxwell, b Jadeja,22,15,15,3,0,146.66,Royal Challengers Bangalore
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,AB de Villiers, b Jadeja,4,9,15,0,0,44.44,Royal Challengers Bangalore
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Dan Christian,run out (Jadeja),1,3,3,0,0,33.33,Royal Challengers Bangalore
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Kyle Jamieson,run out (Imran Tahir),16,13,28,1,1,123.07,Royal Challengers Bangalore
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Harshal Patel, b Imran Tahir,0,8,8,0,0,0.00,Royal Challengers Bangalore
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Navdeep Saini,c Raina b Imran Tahir,2,4,5,0,0,50.00,Royal Challengers Bangalore
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Yuzvendra Chahal,not out ,8,21,32,0,0,38.09,Royal Challengers Bangalore
2,ipl-2021-1249214,chennai-super-kings-vs-royal-challengers-bangalore-19th-match-1254076,Mohammed Siraj,not out ,12,14,18,0,1,85.71,Royal Challengers Bangalore
