innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Anrich Nortje,4,0,37,1,9.25,8,2,1,2,0,Delhi Capitals
1,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Avesh Khan,4,0,35,1,8.75,12,5,1,2,0,Delhi Capitals
1,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Axar Patel,4,0,18,2,4.50,6,0,0,0,0,Delhi Capitals
1,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Kagiso Rabada,4,0,21,0,5.25,12,3,0,0,0,Delhi Capitals
1,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Ravichandran Ashwin,4,0,20,1,5.00,8,0,0,2,0,Delhi Capitals
2,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Deepak Chahar,3,0,34,1,11.33,9,4,2,2,0,Chennai Super Kings
2,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Josh Hazlewood,4,0,27,1,6.75,10,2,1,0,0,Chennai Super Kings
2,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Ravindra Jadeja,4,0,28,2,7.00,10,3,0,1,0,Chennai Super Kings
2,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Moeen Ali,3,0,16,0,5.33,8,0,1,0,0,Chennai Super Kings
2,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Shardul Thakur,4,0,13,2,3.25,12,0,0,0,0,Chennai Super Kings
2,ipl-2021-1249214,delhi-capitals-vs-chennai-super-kings-50th-match-1254110,Dwayne Bravo,1.4,0,20,1,12.00,4,3,0,3,0,Chennai Super Kings
