innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Jaydev Unadkat,4,0,35,0,8.75,8,2,2,1,0,Rajasthan Royals
1,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Chris Morris,4,0,28,1,7.00,12,2,1,3,0,Rajasthan Royals
1,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Chetan Sakariya,4,0,23,1,5.75,12,2,1,0,0,Rajasthan Royals
1,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Mustafizur Rahman,4,0,31,0,7.75,8,2,1,1,0,Rajasthan Royals
1,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Shivam Dube,2,0,18,0,9.00,1,2,0,0,0,Rajasthan Royals
1,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Rahul Tewatia,1,0,11,1,11.00,1,0,1,1,0,Rajasthan Royals
1,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Glenn Phillips,1,0,17,1,17.00,1,2,1,1,0,Rajasthan Royals
2,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Shakib Al Hasan,1,0,1,1,1.00,5,0,0,0,0,Kolkata Knight Riders
2,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Shivam Mavi,3.1,0,21,4,6.63,10,3,0,0,0,Kolkata Knight Riders
2,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Sunil Narine,4,0,30,0,7.50,12,1,3,0,0,Kolkata Knight Riders
2,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Lockie Ferguson,4,0,18,3,4.50,17,3,0,0,0,Kolkata Knight Riders
2,ipl-2021-1249214,kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106,Varun Chakravarthy,4,0,14,1,3.50,16,0,1,0,0,Kolkata Knight Riders
