innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Anrich Nortje,4,1,19,1,4.75,15,3,0,0,0,Delhi Capitals
1,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Avesh Khan,4,0,15,3,3.75,16,2,0,1,0,Delhi Capitals
1,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Ravichandran Ashwin,4,0,41,1,10.25,6,2,3,2,0,Delhi Capitals
1,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Kagiso Rabada,4,0,33,0,8.25,9,1,2,1,1,Delhi Capitals
1,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Axar Patel,4,0,21,3,5.25,8,1,0,1,0,Delhi Capitals
2,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Trent Boult,4,0,24,1,6.00,7,1,0,1,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Jayant Yadav,4,0,31,1,7.75,9,2,1,1,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Krunal Pandya,2.1,0,18,1,8.30,5,0,2,0,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Jasprit Bumrah,4,0,29,1,7.25,10,3,1,0,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Nathan Coulter-Nile,4,0,19,1,4.75,12,2,0,0,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-delhi-capitals-46th-match-1254112,Kieron Pollard,1,0,9,0,9.00,2,1,0,2,0,Mumbai Indians
