innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Nitish Rana,1,0,5,0,5.00,4,1,0,0,0,Kolkata Knight Riders
1,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Varun Chakravarthy,4,0,22,0,5.50,9,2,0,1,0,Kolkata Knight Riders
1,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Sunil Narine,4,0,20,1,5.00,10,2,0,0,0,Kolkata Knight Riders
1,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Lockie Ferguson,4,0,27,2,6.75,9,2,1,0,0,Kolkata Knight Riders
1,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Prasidh Krishna,4,0,43,2,10.75,10,1,3,4,2,Kolkata Knight Riders
1,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Andre Russell,3,0,37,0,12.33,4,3,2,1,0,Kolkata Knight Riders
2,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Trent Boult,2,0,23,0,11.50,4,1,2,0,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Adam Milne,3,0,29,0,9.66,6,3,1,1,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Jasprit Bumrah,4,0,43,3,10.75,8,5,1,1,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Krunal Pandya,3,0,25,0,8.33,7,1,2,0,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Rahul Chahar,3,0,34,0,11.33,6,3,2,0,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-kolkata-knight-riders-34th-match-1254096,Rohit Sharma,0.1,0,4,0,24.00,0,1,0,0,0,Mumbai Indians
