innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,KL Rahul (c)†,c Bumrah b Pollard,21,22,38,2,0,95.45,Punjab Kings
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Mandeep Singh,lbw b KH Pandya,15,14,28,2,0,107.14,Punjab Kings
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Chris Gayle,c HH Pandya b Pollard,1,4,8,0,0,25.00,Punjab Kings
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Aiden Markram, b Chahar,42,29,43,6,0,144.82,Punjab Kings
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Nicholas Pooran,lbw b Bumrah,2,3,7,0,0,66.66,Punjab Kings
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Deepak Hooda,c Pollard b Bumrah,28,26,50,1,1,107.69,Punjab Kings
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Harpreet Brar,not out ,14,19,24,0,0,73.68,Punjab Kings
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Nathan Ellis,not out ,6,4,7,0,0,150.00,Punjab Kings
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Rohit Sharma (c),c Mandeep Singh b Ravi Bishnoi,8,10,17,1,0,80.00,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Quinton de Kock, b Mohammed Shami,27,29,49,2,0,93.10,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Suryakumar Yadav, b Ravi Bishnoi,0,1,2,0,0,0.00,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Saurabh Tiwary,c Rahul b Ellis,45,37,61,3,2,121.62,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Hardik Pandya,not out ,40,30,54,4,2,133.33,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Kieron Pollard,not out ,15,7,22,1,1,214.28,Mumbai Indians
