innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Krunal Pandya,4,0,24,1,6.00,6,1,0,0,1,Mumbai Indians
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Trent Boult,3,0,30,0,10.00,7,4,1,1,0,Mumbai Indians
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Jasprit Bumrah,4,0,24,2,6.00,11,2,0,0,0,Mumbai Indians
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Nathan Coulter-Nile,4,0,19,0,4.75,10,1,0,0,0,Mumbai Indians
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Kieron Pollard,1,0,8,2,8.00,2,1,0,1,0,Mumbai Indians
1,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Rahul Chahar,4,0,27,1,6.75,6,2,0,0,0,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Aiden Markram,3,0,18,0,6.00,5,1,0,1,0,Punjab Kings
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Mohammed Shami,4,0,42,1,10.50,9,5,2,0,0,Punjab Kings
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Arshdeep Singh,4,0,29,0,7.25,9,2,1,1,0,Punjab Kings
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Ravi Bishnoi,4,0,25,2,6.25,11,2,1,0,0,Punjab Kings
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Nathan Ellis,3,0,12,1,4.00,10,1,0,0,0,Punjab Kings
2,ipl-2021-1249214,mumbai-indians-vs-punjab-kings-42nd-match-1254099,Harpreet Brar,1,0,11,0,11.00,1,0,1,0,0,Punjab Kings
