innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,Jos Buttler,st de Kock b Chahar,41,32,36,3,3,128.12,Rajasthan Royals
1,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,Yashasvi Jaiswal,c & b Chahar,32,20,45,2,2,160.00,Rajasthan Royals
1,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,Sanju Samson (c)†, b Boult,42,27,47,5,0,155.55,Rajasthan Royals
1,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,Shivam Dube,c & b Bumrah,35,31,44,2,2,112.90,Rajasthan Royals
1,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,David Miller,not out ,7,4,14,1,0,175.00,Rajasthan Royals
1,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,Riyan Parag,not out ,8,7,8,1,0,114.28,Rajasthan Royals
2,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,Rohit Sharma (c),c Sakariya b Morris,14,17,29,0,1,82.35,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,Quinton de Kock,not out ,70,50,95,6,2,140.00,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,Suryakumar Yadav,c Buttler b Morris,16,10,20,3,0,160.00,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,Krunal Pandya, b Mustafizur Rahman,39,26,37,2,2,150.00,Mumbai Indians
2,ipl-2021-1249214,mumbai-indians-vs-rajasthan-royals-24th-match-1254081,Kieron Pollard,not out ,16,8,12,2,1,200.00,Mumbai Indians
