innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Prabhsimran Singh,c Smith b Rabada,12,16,18,0,1,75.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Mayank Agarwal (c),not out ,99,58,98,8,4,170.68,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Chris Gayle, b Rabada,13,9,11,1,1,144.44,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Dawid Malan, b Patel,26,26,37,1,1,100.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Deepak Hooda,run out (Hetmyer/Patel),1,1,3,0,0,100.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,M Shahrukh Khan,c Hetmyer b Avesh Khan,4,5,19,0,0,80.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Chris Jordan,c Lalit Yadav b Rabada,2,3,8,0,0,66.66,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Harpreet Brar,not out ,4,2,6,1,0,200.00,Punjab Kings
2,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Prithvi Shaw, b Harpreet Brar,39,22,25,3,3,177.27,Delhi Capitals
2,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Shikhar Dhawan,not out ,69,47,83,6,2,146.80,Delhi Capitals
2,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Steven Smith,c Malan b Meredith,24,22,30,1,0,109.09,Delhi Capitals
2,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Rishabh Pant (c)†,c Agarwal b Jordan,14,11,18,1,1,127.27,Delhi Capitals
2,ipl-2021-1249214,punjab-kings-vs-delhi-capitals-29th-match-1254086,Shimron Hetmyer,not out ,16,4,9,1,2,400.00,Delhi Capitals
