innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,KL Rahul (c)†,c Narine b Cummins,19,20,28,2,1,95.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Mayank Agarwal,c Tripathi b Narine,31,34,57,1,2,91.17,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Chris Gayle,c Karthik b Shivam Mavi,0,1,6,0,0,0.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Deepak Hooda,c Morgan b Prasidh Krishna,1,4,7,0,0,25.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Nicholas Pooran, b Varun,19,19,29,1,1,100.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Moises Henriques, b Narine,2,3,8,0,0,66.66,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,M Shahrukh Khan,c Morgan b Prasidh Krishna,13,14,21,0,1,92.85,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Chris Jordan, b Prasidh Krishna,30,18,28,1,3,166.66,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Ravi Bishnoi,c Morgan b Cummins,1,4,5,0,0,25.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Mohammed Shami,not out ,1,2,11,0,0,50.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Arshdeep Singh,not out ,1,1,3,0,0,100.00,Punjab Kings
2,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Shubman Gill,lbw b Mohammed Shami,9,8,9,2,0,112.50,Kolkata Knight Riders
2,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Nitish Rana,c Shahrukh Khan b Henriques,0,1,3,0,0,0.00,Kolkata Knight Riders
2,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Rahul Tripathi,c Shahrukh Khan b Hooda,41,32,57,7,0,128.12,Kolkata Knight Riders
2,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Sunil Narine,c Ravi Bishnoi b Arshdeep Singh,0,4,9,0,0,0.00,Kolkata Knight Riders
2,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Eoin Morgan (c),not out ,47,40,73,4,2,117.50,Kolkata Knight Riders
2,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Andre Russell,run out (Arshdeep Singh/Rahul),10,9,19,2,0,111.11,Kolkata Knight Riders
2,ipl-2021-1249214,punjab-kings-vs-kolkata-knight-riders-21st-match-1254078,Dinesh Karthik,not out ,12,6,13,2,0,200.00,Kolkata Knight Riders
