innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Evin Lewis,c Agarwal b Arshdeep Singh,36,21,29,7,1,171.42,Rajasthan Royals
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Yashasvi Jaiswal,c Agarwal b Harpreet Brar,49,36,74,6,2,136.11,Rajasthan Royals
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Sanju Samson (c)†,c Rahul b Porel,4,5,11,0,0,80.00,Rajasthan Royals
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Liam Livingstone,c Allen b Arshdeep Singh,25,17,26,2,1,147.05,Rajasthan Royals
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Mahipal Lomror,c Markram b Arshdeep Singh,43,17,28,2,4,252.94,Rajasthan Royals
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Riyan Parag,c Markram b Mohammed Shami,4,5,12,0,0,80.00,Rajasthan Royals
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Rahul Tewatia, b Mohammed Shami,2,5,13,0,0,40.00,Rajasthan Royals
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Chris Morris,c Markram b Mohammed Shami,5,5,12,0,0,100.00,Rajasthan Royals
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Chetan Sakariya,c & b Arshdeep Singh,7,6,11,1,0,116.66,Rajasthan Royals
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Kartik Tyagi, b Arshdeep Singh,1,3,9,0,0,33.33,Rajasthan Royals
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Mustafizur Rahman,not out ,0,0,2,0,0,-,Rajasthan Royals
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,KL Rahul (c)†,c Kartik Tyagi b Sakariya,49,33,69,4,2,148.48,Punjab Kings
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Mayank Agarwal,c Livingstone b Tewatia,67,43,75,7,2,155.81,Punjab Kings
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Aiden Markram,not out ,26,20,48,2,1,130.00,Punjab Kings
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Nicholas Pooran,c Samson b Kartik Tyagi,32,22,35,1,2,145.45,Punjab Kings
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Deepak Hooda,c Samson b Kartik Tyagi,0,2,3,0,0,0.00,Punjab Kings
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Fabian Allen,not out ,0,1,3,0,0,0.00,Punjab Kings
