innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Mohammed Shami,4,0,21,3,5.25,13,3,0,0,0,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Ishan Porel,4,0,39,1,9.75,10,6,1,2,0,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Deepak Hooda,2,0,37,0,18.50,2,5,2,0,0,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Arshdeep Singh,4,0,32,5,8.00,11,2,1,3,0,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Adil Rashid,3,0,35,0,11.66,6,1,4,0,0,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Harpreet Brar,3,0,17,1,5.66,4,1,0,0,0,Punjab Kings
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Mustafizur Rahman,4,0,30,0,7.50,7,2,1,0,0,Rajasthan Royals
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Chetan Sakariya,3,0,31,1,10.33,5,2,2,1,0,Rajasthan Royals
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Kartik Tyagi,4,0,29,2,7.25,12,5,0,0,1,Rajasthan Royals
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Chris Morris,4,0,47,0,11.75,5,2,3,5,0,Rajasthan Royals
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Rahul Tewatia,3,0,23,1,7.66,3,2,0,1,0,Rajasthan Royals
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Mahipal Lomror,1,0,7,0,7.00,0,0,0,0,0,Rajasthan Royals
2,ipl-2021-1249214,punjab-kings-vs-rajasthan-royals-32nd-match-1254111,Riyan Parag,1,0,16,0,16.00,0,1,1,0,0,Rajasthan Royals
