innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,KL Rahul (c),not out ,91,57,96,7,5,159.64,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Prabhsimran Singh,c Kohli b Jamieson,7,7,17,1,0,100.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Chris Gayle,c de Villiers b Sams,46,24,34,6,2,191.66,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Nicholas Pooran,c Shahbaz Ahmed b Jamieson,0,3,6,0,0,0.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Deepak Hooda,c Patidar b Shahbaz Ahmed,5,9,11,0,0,55.55,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,M Shahrukh Khan, b Chahal,0,3,4,0,0,0.00,Punjab Kings
1,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Harpreet Brar,not out ,25,17,26,1,2,147.05,Punjab Kings
2,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Virat Kohli (c), b Harpreet Brar,35,34,44,3,1,102.94,Royal Challengers Bangalore
2,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Devdutt Padikkal, b Meredith,7,6,13,0,1,116.66,Royal Challengers Bangalore
2,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Rajat Patidar,c Pooran b Jordan,31,30,51,2,1,103.33,Royal Challengers Bangalore
2,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Glenn Maxwell, b Harpreet Brar,0,1,1,0,0,0.00,Royal Challengers Bangalore
2,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,AB de Villiers,c Rahul b Harpreet Brar,3,9,9,0,0,33.33,Royal Challengers Bangalore
2,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Shahbaz Ahmed,c Harpreet Brar b Ravi Bishnoi,8,11,17,1,0,72.72,Royal Challengers Bangalore
2,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Daniel Sams, b Ravi Bishnoi,3,4,5,0,0,75.00,Royal Challengers Bangalore
2,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Kyle Jamieson,not out ,16,11,24,1,1,145.45,Royal Challengers Bangalore
2,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Harshal Patel,c Ravi Bishnoi b Mohammed Shami,31,13,22,3,2,238.46,Royal Challengers Bangalore
2,ipl-2021-1249214,punjab-kings-vs-royal-challengers-bangalore-26th-match-1254083,Mohammed Siraj,not out ,0,1,2,0,0,0.00,Royal Challengers Bangalore
