innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Ruturaj Gaikwad,not out ,101,60,113,9,5,168.33,Chennai Super Kings
1,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Faf du Plessis,st Samson b Tewatia,25,19,37,2,1,131.57,Chennai Super Kings
1,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Suresh Raina,c Dube b Tewatia,3,5,8,0,0,60.00,Chennai Super Kings
1,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Moeen Ali,st Samson b Tewatia,21,17,31,1,1,123.52,Chennai Super Kings
1,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Ambati Rayudu,c Phillips b Sakariya,2,4,18,0,0,50.00,Chennai Super Kings
1,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Ravindra Jadeja,not out ,32,15,21,4,1,213.33,Chennai Super Kings
2,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Evin Lewis,c Hazlewood b Thakur,27,12,28,2,2,225.00,Rajasthan Royals
2,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Yashasvi Jaiswal,c Dhoni b Asif,50,21,33,6,3,238.09,Rajasthan Royals
2,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Sanju Samson (c)†,c Gaikwad b Thakur,28,24,50,4,0,116.66,Rajasthan Royals
2,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Shivam Dube,not out ,64,42,60,4,4,152.38,Rajasthan Royals
2,ipl-2021-1249214,rajasthan-royals-vs-chennai-super-kings-47th-match-1254089,Glenn Phillips,not out ,14,8,13,1,1,175.00,Rajasthan Royals
