innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Chetan Sakariya,4,0,33,0,8.25,5,4,0,0,0,Rajasthan Royals
1,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Jaydev Unadkat,4,0,15,3,3.75,15,2,0,0,0,Rajasthan Royals
1,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Chris Morris,3,0,27,1,9.00,7,4,0,1,0,Rajasthan Royals
1,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Mustafizur Rahman,4,0,29,2,7.25,11,4,0,2,0,Rajasthan Royals
1,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Riyan Parag,2,0,16,0,8.00,3,2,0,1,0,Rajasthan Royals
1,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Rahul Tewatia,3,0,27,0,9.00,6,4,0,0,0,Rajasthan Royals
2,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Chris Woakes,4,0,22,2,5.50,13,2,1,0,0,Delhi Capitals
2,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Avesh Khan,4,0,32,3,8.00,11,3,2,0,0,Delhi Capitals
2,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Kagiso Rabada,4,0,30,2,7.50,12,2,2,0,0,Delhi Capitals
2,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Ravichandran Ashwin,3,0,14,0,4.66,5,0,0,0,0,Delhi Capitals
2,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Tom Curran,3.4,0,35,0,9.54,6,2,2,1,0,Delhi Capitals
2,ipl-2021-1249214,rajasthan-royals-vs-delhi-capitals-7th-match-1254064,Marcus Stoinis,1,0,15,0,15.00,0,3,0,0,0,Delhi Capitals
