innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Deepak Chahar,4,0,35,1,8.75,7,6,0,0,0,Chennai Super Kings
1,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Josh Hazlewood,4,0,34,0,8.50,7,1,2,1,0,Chennai Super Kings
1,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Shardul Thakur,4,0,29,2,7.25,9,1,2,0,0,Chennai Super Kings
1,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Ravindra Jadeja,4,0,31,0,7.75,7,2,1,0,0,Chennai Super Kings
1,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Dwayne Bravo,4,0,24,3,6.00,10,1,1,1,0,Chennai Super Kings
2,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Mohammed Siraj,3,0,23,0,7.66,5,3,0,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Navdeep Saini,2,0,25,0,12.50,4,2,2,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Wanindu Hasaranga,4,0,40,0,10.00,7,2,3,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Harshal Patel,3.1,0,25,2,7.89,7,3,0,1,2,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Yuzvendra Chahal,4,0,26,1,6.50,10,2,1,1,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113,Glenn Maxwell,2,0,17,1,8.50,3,1,1,0,0,Royal Challengers Bangalore
