innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Virat Kohli (c),c Tripathi b Varun,5,6,8,1,0,83.33,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Devdutt Padikkal,c Tripathi b Prasidh Krishna,25,28,56,2,0,89.28,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Rajat Patidar, b Varun,1,2,5,0,0,50.00,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Glenn Maxwell,c Harbhajan Singh b Cummins,78,49,75,9,3,159.18,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,AB de Villiers,not out ,76,34,45,9,3,223.52,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Kyle Jamieson,not out ,11,4,15,1,1,275.00,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Nitish Rana,c Padikkal b Chahal,18,11,36,2,1,163.63,Kolkata Knight Riders
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Shubman Gill,c sub (DT Christian) b Jamieson,21,9,10,2,2,233.33,Kolkata Knight Riders
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Rahul Tripathi,c Mohammed Siraj b Washington Sundar,25,20,23,5,0,125.00,Kolkata Knight Riders
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Eoin Morgan (c),c Kohli b Patel,29,23,33,1,2,126.08,Kolkata Knight Riders
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Dinesh Karthik,lbw b Chahal,2,5,10,0,0,40.00,Kolkata Knight Riders
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Shakib Al Hasan, b Jamieson,26,25,37,1,1,104.00,Kolkata Knight Riders
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Andre Russell, b Patel,31,20,27,3,2,155.00,Kolkata Knight Riders
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Pat Cummins,c de Villiers b Jamieson,6,2,4,0,1,300.00,Kolkata Knight Riders
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Harbhajan Singh,not out ,2,2,10,0,0,100.00,Kolkata Knight Riders
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Varun Chakravarthy,not out ,2,3,4,0,0,66.66,Kolkata Knight Riders
