innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Harbhajan Singh,4,0,38,0,9.50,10,4,2,1,1,Kolkata Knight Riders
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Varun Chakravarthy,4,0,39,2,9.75,6,3,2,0,1,Kolkata Knight Riders
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Shakib Al Hasan,2,0,24,0,12.00,2,3,1,0,0,Kolkata Knight Riders
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Pat Cummins,4,0,34,1,8.50,6,3,0,2,0,Kolkata Knight Riders
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Prasidh Krishna,4,0,31,1,7.75,10,4,0,0,1,Kolkata Knight Riders
1,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Andre Russell,2,0,38,0,19.00,3,5,2,2,0,Kolkata Knight Riders
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Mohammed Siraj,3,0,17,0,5.66,11,3,0,1,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Kyle Jamieson,3,0,41,3,13.66,7,3,4,1,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Yuzvendra Chahal,4,0,34,2,8.50,10,5,1,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Washington Sundar,4,0,33,1,8.25,7,3,1,1,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Glenn Maxwell,2,0,24,0,12.00,3,0,3,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067,Harshal Patel,4,0,17,2,4.25,7,0,0,0,0,Royal Challengers Bangalore
