innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Virat Kohli (c),c sub (AS Roy) b Milne,51,42,75,3,3,121.42,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Devdutt Padikkal,c de Kock b Bumrah,0,4,9,0,0,0.00,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Srikar Bharat,c Yadav b Chahar,32,24,33,2,2,133.33,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Glenn Maxwell,c Boult b Bumrah,56,37,51,6,3,151.35,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,AB de Villiers,c de Kock b Bumrah,11,6,20,1,1,183.33,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Dan Christian,not out ,1,3,10,0,0,33.33,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Shahbaz Ahmed, b Boult,1,3,5,0,0,33.33,Royal Challengers Bangalore
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Kyle Jamieson,not out ,2,2,4,0,0,100.00,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Rohit Sharma (c),c Padikkal b Maxwell,43,28,50,5,1,153.57,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Quinton de Kock,c Maxwell b Chahal,24,23,35,4,0,104.34,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Ishan Kishan,c Patel b Chahal,9,12,19,1,0,75.00,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Suryakumar Yadav,c Chahal b Mohammed Siraj,8,9,25,0,0,88.88,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Krunal Pandya, b Maxwell,5,11,15,0,0,45.45,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Kieron Pollard, b Patel,7,10,22,0,0,70.00,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Hardik Pandya,c Kohli b Patel,3,6,13,0,0,50.00,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Adam Milne, b Patel,0,1,14,0,0,0.00,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Rahul Chahar,lbw b Patel,0,1,2,0,0,0.00,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Jasprit Bumrah, b Chahal,5,6,6,1,0,83.33,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Trent Boult,not out ,0,3,5,0,0,0.00,Mumbai Indians
